UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum,Iavg,Deviation_A,Deviation_B,Deviation_C,Max_Deviation,Current_Imbalance_%,Status
171.48,92.54,81.45,89.54,2.343,36.674,0.9,60.07,23153.01,25715.15,87.84333333333335,4.696666666666658,6.393333333333345,1.6966666666666583,6.393333333333345,7.2781087542215435,Normal
171.0,91.34,80.31,88.91,2.261,37.437,0.9,60.02,22818.49,25340.87,86.85333333333334,4.486666666666665,6.5433333333333366,2.0566666666666578,6.5433333333333366,7.5337734111145265,Normal
170.81,97.21,85.3,94.32,2.34,37.163,0.901,59.95,24215.19,26888.76,92.27666666666666,4.933333333333337,6.9766666666666595,2.0433333333333366,6.9766666666666595,7.560596756131916,Normal
170.8,100.5,89.11,97.22,2.386,36.212,0.898,60.09,25068.07,27903.79,95.61000000000001,4.889999999999986,6.500000000000014,1.6099999999999852,6.500000000000014,6.798452044765206,Normal
170.69,91.38,79.78,87.8,2.257,38.086,0.898,60.2,22568.86,25134.82,86.32,5.060000000000002,6.539999999999992,1.480000000000004,6.539999999999992,7.576459684893411,Normal
170.59,92.78,81.59,89.35,2.267,37.539,0.898,60.12,22996.32,25606.18,87.90666666666668,4.873333333333321,6.316666666666677,1.4433333333333138,6.316666666666677,7.185651448506001,Normal
170.15,92.11,80.21,88.69,2.306,38.459,0.898,59.97,22658.95,25245.23,87.00333333333333,5.106666666666669,6.7933333333333366,1.6866666666666674,6.7933333333333366,7.808129956706644,Normal
170.67,97.72,86.51,94.31,2.402,37.722,0.894,59.96,24197.71,27073.79,92.84666666666668,4.873333333333321,6.336666666666673,1.463333333333324,6.336666666666673,6.824872549723565,Normal
170.79,113.46,101.23,110.07,2.604,35.806,0.896,60.0,28339.25,31612.43,108.25333333333333,5.2066666666666634,7.023333333333326,1.8166666666666629,7.023333333333326,6.487867964034974,Normal
170.57,104.66,93.03,101.56,2.564,36.148,0.898,59.99,26124.08,29076.66,99.75,4.909999999999997,6.719999999999999,1.8100000000000023,6.719999999999999,6.736842105263157,Normal
171.02,105.69,94.85,102.99,2.548,35.805,0.896,59.97,26534.97,29600.1,101.17666666666666,4.513333333333335,6.326666666666668,1.8133333333333326,6.326666666666668,6.2530886568049295,Normal
171.27,100.92,89.27,97.34,2.578,36.583,0.897,60.03,25163.01,28045.01,95.84333333333332,5.076666666666682,6.5733333333333235,1.496666666666684,6.5733333333333235,6.858414774110519,Normal
171.6,97.59,86.38,94.49,2.595,37.37,0.895,59.98,24346.62,27210.34,92.82,4.77000000000001,6.439999999999998,1.6700000000000017,6.439999999999998,6.9381598793363475,Normal
172.89,84.05,73.92,81.18,2.598,38.389,0.895,60.07,21050.28,23527.2,79.71666666666667,4.333333333333329,5.796666666666667,1.4633333333333383,5.796666666666667,7.2715868701651685,Normal
173.27,83.06,73.32,79.65,2.429,39.145,0.89,60.18,20723.79,23295.89,78.67666666666666,4.38333333333334,5.356666666666669,0.9733333333333434,5.356666666666669,6.808456552133207,Normal
172.81,86.45,76.53,83.74,2.414,39.002,0.891,60.08,21628.42,24278.02,82.24000000000001,4.209999999999994,5.710000000000008,1.4999999999999858,5.710000000000008,6.943093385214016,Normal
173.25,82.26,72.43,79.09,2.588,39.319,0.89,60.03,20517.91,23058.65,77.92666666666666,4.333333333333343,5.4966666666666555,1.163333333333341,5.4966666666666555,7.053640174523042,Normal
172.64,107.43,96.93,104.33,2.738,35.57,0.894,60.05,27187.84,30414.99,102.89666666666666,4.533333333333346,5.966666666666654,1.4333333333333371,5.966666666666654,5.798697722634347,Normal
173.25,92.1,81.3,88.93,2.537,38.314,0.893,59.98,23111.31,25875.4,87.44333333333333,4.656666666666666,6.143333333333331,1.4866666666666788,6.143333333333331,7.0255022300156265,Normal
173.69,101.03,90.31,97.9,2.595,37.223,0.894,60.03,25597.07,28642.57,96.41333333333334,4.61666666666666,6.103333333333339,1.4866666666666646,6.103333333333339,6.330383072880657,Normal
174.39,98.72,89.05,96.42,2.503,36.851,0.893,60.29,25242.28,28272.04,94.73,3.989999999999995,5.680000000000007,1.6899999999999977,5.680000000000007,5.995988599176614,Normal
